FIRM_CATEGORY,postings,ai_vacancies,firms,non_ai_vacancies,ai_share,wage_postings,ai_wage_postings
SMEs,1283430,11486,625038,1271944,0.00894945575528077,715519,4600
Large firms,6240135,76236,74198,6163899,0.012217043381273001,1972175,25017
S&P 500 firms,1177854,35046,409,1142808,0.029754112139535122,291392,12045
