benefit,n_cells,correlation,mean_wage_beta,mean_perk_beta
Tuition Assistance,18,-0.626,0.2407,-26.8222
Paid Leave,31,-0.199,0.2042,-3.063
Health and Wellbeing,5,0.5,0.2624,-0.072
Parental Leave,13,-0.618,0.2509,-15.8624
Workplace Culture,21,0.125,0.1565,-1.9025
Remote Work,16,0.304,0.2119,-2.3067
