Benefit,Non_AI_Role,AI_Role,Difference
Tuition Assistance,8.2%,10.8%,+2.7pp
Paid Leave,37.4%,35.0%,-2.4pp
Health & Wellbeing,5.0%,8.6%,+3.5pp
Parental Leave,4.5%,12.7%,+8.3pp
Workplace Culture,8.0%,21.9%,+13.9pp
Remote Work,8.2%,28.2%,+20.0pp
