SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,DURATION_CALC_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,DURATION_CALC_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Architecture and Engineering Occupations,2018,1.626857945722103,72708.64677613135,,,11.279748154245265,85233.25581395348,64.0,11.3290026268093,83200.0,11.095356512939153,72599.86911735003,61.66238191886542,11.156250521031495,70000.0,101.66188117606747,117.40139045730635,40569,3.3079444896349433,3.3333333333333335,3.3075246185071037,8.255071606398975,6.0606060606060606,8.291362850484854,1.46663708743129,1.8181818181818181,1.4608233731739706,0.2760728635164781,0.15151515151515152,0.2781327520108246,4.77704651334763,7.121212121212121,4.738279586058282,0.0,,0.0,1.9719490251177005,1.3636363636363635,1.982009070635696,10.61075950714147
Architecture and Engineering Occupations,2019,2.0314856711915534,73966.07804878049,24.87173059783354,,11.443343981375373,97865.61904761905,61.51044083526682,11.461632170582678,95000.0,11.108535399843332,73760.30094300942,59.027062785662736,11.166483697311525,70720.0,103.01397591564378,132.68061246555177,42432,4.645079185520363,3.0162412993039442,4.678854943468848,11.566742081447964,8.236658932714617,11.635795044503247,3.113216440422323,1.6241299303944314,3.1440942987731537,0.7824283559577677,1.9721577726218096,0.7577579985566514,5.568910256410256,10.788863109048725,5.460668751503488,2.3487734452721227,3.415783274440518,2.326330393419879,2.1045437405731526,3.944315545243619,2.0663940341592495,10.655658073545535
Architecture and Engineering Occupations,2020,1.977805620189726,72858.0295846395,-2.642403624257006,24.87173059783354,11.428492888722051,100957.58536585367,60.158371040723985,11.487607656985938,97500.0,11.07596562005347,72630.48034761999,59.307465230226114,11.10585907549509,66560.0,103.1828129552002,139.00167654496576,33522,5.271165204940039,4.223227752639517,5.2923095651115375,16.428017421394905,9.502262443438914,16.567759213609666,2.8906389833542154,1.6591251885369533,2.9154873854956023,1.3125708489946901,1.3574660633484164,1.3116649928482302,6.691128214307023,18.85369532428356,6.4457226330685655,4.44216744017841,13.698630136986301,4.255188316679477,3.872084004534335,11.91553544494721,3.709790316199519,10.419957218687204
Architecture and Engineering Occupations,2021,2.278017958097772,73671.05697232773,15.179061827079199,-2.642403624257006,11.521036382949307,107050.06060606061,61.42022940563086,11.556942350387002,104500.0,11.095518112762335,73216.70232366286,63.841780305792554,11.119882876860622,67500.0,103.83504642020756,146.2098909246602,42098,7.187989928262625,5.839416058394161,7.219426821264493,20.22186327141432,11.261730969760167,20.430734825834364,3.72226709107321,2.2940563086548487,3.755560417122439,2.5986982754525156,3.232533889468196,2.583922798317898,10.442301296973728,24.400417101147028,10.116920683536303,8.357362438338537,14.465408805031446,8.215269818820259,6.670150600978669,9.176225234619395,6.611730960888694,10.647755512603787
Architecture and Engineering Occupations,2022,2.4464564033413305,83890.4609527347,7.394078902881462,15.179061827079199,11.600475356749296,115932.65745856354,54.1496062992126,11.556942350387002,104500.0,11.235283798078212,83342.7052323385,55.015043262844216,11.27720313144916,79000.0,103.250399057419,139.10354497777874,57103,8.840166015796019,6.800286327845383,8.891322299213728,22.760625536311576,15.533285612025768,22.94187340681435,4.591702712642068,2.219040801717967,4.651204538110796,3.9910337460378615,5.153901216893344,3.9618712526478297,15.806525051223227,35.14674302075877,15.321509352672964,14.68500443655723,18.168604651162788,14.597809873758505,10.475806875295518,13.886900501073729,10.390263167342836,10.952611933668509
Architecture and Engineering Occupations,2023,2.3377522112411064,95436.59390733541,-4.443332484967144,7.394078902881462,11.683303431160528,127176.3937007874,52.877890841813134,11.664873721242287,116410.0,11.369320351306099,94646.72691051601,50.75983170947741,11.407564949312402,90000.0,102.76166974060467,134.36956337753406,46241,11.567656408814688,12.118408880666049,11.554472984942427,30.282649596678272,25.624421831637374,30.394154118689105,6.167686684976536,5.180388529139686,6.191319751992914,6.790510585843731,9.620721554116558,6.722763507528787,17.07575528210895,29.972247918593897,16.767050487156776,15.716369494698801,19.962686567164177,15.614899355787879,12.023961419519475,16.28122109158187,11.922054915854739,10.741622129409992
"Arts, Design, Entertainment, Sports, and Media Occupations",2018,0.574046624444145,49222.67163900802,,,11.089872044394415,71530.23076923077,54.44131455399061,11.195471234184778,72800.0,10.667752759694086,49168.46635514019,62.03014203621381,10.595934480158231,39972.0,103.95696539101675,145.47989000220832,37105,2.280016170327449,0.9389671361502347,2.2877588637102897,7.174235278264385,7.042253521126761,7.174997289385232,1.2343349952836546,2.3474178403755865,1.2279084896454515,0.5659614607195795,0.9389671361502347,0.5638078716252847,4.061447244306697,7.511737089201878,4.0415266182370155,0.0,,0.0,2.622288101334052,5.164319248826291,2.6076114062669413,10.521507010404234
"Arts, Design, Entertainment, Sports, and Media Occupations",2019,0.7956840912450115,49488.165452337584,38.60966293730588,,11.122530167751272,79772.15384615384,59.43653250773994,10.965933954828005,57870.0,10.672747762630635,49368.17403230722,60.42236348737305,10.584562151861805,39520.0,104.21430745974804,161.58619476983256,40594,2.2638813617776026,1.5479876160990713,2.2696233021280823,8.668768783564074,8.978328173374612,8.666285912939832,1.7761245504261713,12.38390092879257,1.6910431824389758,1.0321722422032813,1.238390092879257,1.0305182389312408,4.899738877666651,8.6687306501548,4.869509076010032,4.179974651457541,6.329113924050633,4.162620738999336,3.4660294624821404,4.643962848297214,3.4565816592585237,10.611375551417572
"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.6108488780069162,45386.2211217036,-23.229723362808798,38.60966293730588,10.988102141194588,66333.06666666667,57.921487603305785,10.878609354140206,53040.0,10.602387660044114,45308.12924071083,59.35936507936508,10.47333651675158,35360.0,103.63799639777432,146.40433798150343,39617,2.079915187924376,2.8925619834710745,2.074920634920635,10.611606128682132,9.090909090909092,10.620952380952382,1.501880505843451,2.066115702479339,1.4984126984126984,1.2242219249312163,2.8925619834710745,1.213968253968254,3.9478001867884998,15.702479338842975,3.8755555555555556,7.675667013861069,16.666666666666664,7.617665242050372,9.778630385945428,12.396694214876034,9.762539682539682,10.58701359805202
"Arts, Design, Entertainment, Sports, and Media Occupations",2021,0.8156049739850137,50579.115156143926,33.51992667092682,-23.229723362808798,11.100370716358208,73769.5090909091,60.16502463054187,10.935960038699692,56160.0,10.704078320460601,50470.37002301987,65.0627063374719,10.596634733096073,40000.0,103.70225613110568,146.16399494844666,49779,3.469334458305711,1.9704433497536946,3.481660016608268,16.137326985274917,13.054187192118228,16.162680007291435,2.211776050141626,1.9704433497536946,2.2137605573896666,2.3363265634102732,4.926108374384237,2.315030482247382,8.079712328491933,21.67487684729064,7.967917687805076,11.065846526167187,33.08457711442786,10.885875200780758,8.143996464372528,21.182266009852217,8.036781236708322,10.815348487330898
