SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,ai_role_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
"Arts, Design, Entertainment, Sports, and Media Occupations",2024,2.4804177545691903,62777.4247732249,88.72417807183115,47.43111791783377,11.221972080473554,85623.55102040817,11.261248660506585,77750.0,10.897879956337452,62054.95934172314,10.769957589426328,47570.0,102.97390066173038,137.98019034852305,20682,513,1168,21,1147,4707,89,4618,1580,20,1560,1396,32,1364,2364,65,2299,0.0,0.0,0.0,1861,207,1654,9.937019035744921
Business and Financial Operations Occupations,2018,1.603266188793915,70842.25523983683,,,11.244834049486691,84001.98095238095,11.26446410567173,78000.0,11.056116693908756,70744.3475519025,11.041320554357519,62400.0,101.7069045199379,118.74020166876488,107281,1720,5133,95,5038,9507,144,9363,2106,30,2076,638,19,619,5924,179,5745,3.0,0.0,3.0,5482,73,5409,11.583206839314055
Business and Financial Operations Occupations,2019,1.6795386022255019,70723.04104242007,4.757314410089575,,11.319754821729514,89425.1038961039,11.33857207782545,84000.0,11.051679077909949,70640.01181964944,11.010398644018933,60500.0,102.42565624580426,126.5927080029581,110447,1855,4367,66,4301,12962,151,12811,3134,47,3087,1338,35,1303,6969,192,6777,363.0,8.0,355.0,5519,80,5439,11.61229104686779
Business and Financial Operations Occupations,2020,1.6453669105410245,72356.05349835817,-2.0345880493129243,4.757314410089575,11.395954196027603,96951.76237623762,11.42036051357589,91159.0,11.068676784891482,72229.91525337666,11.041320554357519,62400.0,102.95678894141031,134.22660408244803,95541,1572,4366,55,4311,16151,127,16024,2651,35,2616,1678,29,1649,6274,187,6087,701.0,13.0,688.0,9681,136,9545,11.467310753709356
Business and Financial Operations Occupations,2021,1.9716434151332567,73573.47455305651,19.830014965169497,-2.0345880493129243,11.48498072663356,103897.56435643564,11.504893293272964,99200.0,11.08557121856636,73238.63984548669,11.043433704697215,62532.0,103.60296731843877,141.86167926606888,123146,2428,7774,181,7593,27671,426,27245,5711,131,5580,4024,159,3865,15122,545,14577,1291.0,24.0,1267.0,17874,393,17481,11.721125922306598
Business and Financial Operations Occupations,2022,2.008221289714824,78434.85737304145,1.8551972583285448,19.830014965169497,11.548228883516817,110779.74782608695,11.590812003627299,108100.0,11.157144735201886,77909.7928065272,11.121363262031055,67600.0,103.50523505427891,142.18976053650337,140124,2814,11531,260,11271,35574,574,35000,8008,167,7841,7421,223,7198,23950,769,23181,1831.0,45.0,1786.0,25026,614,24412,11.850283023863716
Business and Financial Operations Occupations,2023,1.9066472181704521,86575.23106937544,-5.057912296049594,1.8551972583285448,11.606751574428232,118937.6628643853,11.635143097694478,113000.0,11.257652903227363,85897.1103202847,11.227800121300138,75192.0,103.10098982622557,138.4652666671815,95980,1830,10256,233,10023,30569,519,30050,7383,175,7208,6868,205,6663,15946,508,15438,1217.0,33.0,1184.0,18136,502,17634,11.471895115412236
Business and Financial Operations Occupations,2024,3.1116955699843842,88187.22143136767,63.20248131535584,-5.057912296049594,11.6607948982178,123830.56740196078,11.692392835307059,119658.0,11.27379109882563,87121.17406443573,11.258033215341438,77500.0,103.43277426377435,142.13601771525072,60835,1893,6586,172,6414,21923,541,21382,4753,157,4596,5357,197,5160,10576,488,10088,15.0,1.0,14.0,11560,453,11107,11.015920560221549
Community and Social Service Occupations,2018,0.2104722792607803,51466.81524842947,,,10.713553884550292,46384.666666666664,10.691944912900398,44000.0,10.752714933215513,51471.17262074879,10.714417768752456,45000.0,99.63580315382256,90.1177577756764,19480,41,926,6,920,2645,8,2637,620,3,617,450,1,449,780,4,776,0.0,0.0,0.0,669,2,667,9.877143577196525
Community and Social Service Occupations,2019,0.23767082590612004,53755.295074758134,12.922626552468742,,11.013307697285875,61908.583333333336,11.040917825025723,62375.0,10.783401041280754,53733.72552910053,10.733086795338316,45848.0,102.13204215557778,115.21364417549191,23562,56,1525,1,1524,4492,10,4482,935,3,932,685,0,685,1217,8,1209,57.0,0.0,57.0,899,3,896,10.067390523806065
