Occupation,Tuition Assistance,Paid Leave,Health and Wellbeing,Parental Leave,Workplace Culture,Remote Work
Architecture and Engineering Occupations,85,217,47,87,176,86
"Arts, Design, Entertainment, Sports, and Media Occupations",21,89,20,32,65,207
Business and Financial Operations Occupations,172,541,157,197,488,453
Computer and Mathematical Occupations,847,2200,657,1163,1868,1839
Management Occupations,318,746,169,311,745,525
