Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Tuition Assistance AI (%),Tuition Assistance Non-AI (%),Tuition Assistance Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Health & Wellbeing AI (%),Health & Wellbeing Non-AI (%),Health & Wellbeing Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp),Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp)
Business and Financial Operations Occupations,2020,1.65,95541,1572,3.5,4.59,-1.09,8.08,17.05,-8.97,2.23,2.78,-0.56,1.84,1.75,0.09,11.9,6.48,5.42,8.65,10.16,-1.51
"Life, Physical, and Social Science Occupations",2020,1.64,15532,254,4.72,4.76,-0.03,9.06,17.03,-7.98,3.94,3.74,0.19,3.15,1.32,1.83,14.57,6.58,7.99,6.69,6.24,0.46
Business and Financial Operations Occupations,2018,1.6,107281,1720,5.52,4.77,0.75,8.37,8.87,-0.5,1.74,1.97,-0.22,1.1,0.59,0.52,10.41,5.44,4.96,4.24,5.12,-0.88
"Life, Physical, and Social Science Occupations",2018,1.49,14522,217,4.15,3.22,0.93,4.61,10.04,-5.43,1.38,3.04,-1.66,0.0,0.5,-0.5,6.91,4.9,2.01,3.69,5.02,-1.33
Management Occupations,2019,1.46,133581,1951,2.26,4.26,-2.01,6.87,15.25,-8.38,1.95,2.69,-0.74,2.05,1.38,0.67,13.33,7.49,5.83,4.72,3.78,0.93
Management Occupations,2020,1.46,124184,1807,2.27,5.05,-2.78,9.3,21.02,-11.73,2.43,2.87,-0.43,2.93,1.86,1.07,21.14,8.03,13.11,9.41,5.82,3.58
Management Occupations,2023,1.44,152843,2208,12.32,10.98,1.34,32.38,36.93,-4.54,7.97,6.7,1.27,13.04,7.23,5.82,33.29,16.46,16.83,23.28,11.12,12.15
"Arts, Design, Entertainment, Sports, and Media Occupations",2023,1.31,30206,397,5.79,5.53,0.26,18.14,21.6,-3.46,2.52,5.57,-3.05,6.8,4.57,2.23,19.9,11.3,8.6,46.35,9.16,37.19
Legal Occupations,2024,1.29,7144,92,10.87,4.85,6.02,38.04,46.36,-8.31,11.96,5.2,6.75,14.13,8.38,5.75,32.61,11.42,21.19,34.78,22.9,11.88
Management Occupations,2018,1.24,128462,1589,2.45,4.18,-1.73,7.49,10.88,-3.4,1.2,2.05,-0.86,0.82,0.63,0.19,7.87,6.01,1.86,4.66,3.21,1.45
Educational Instruction and Library Occupations,2024,1.04,31079,324,4.63,9.1,-4.47,15.74,25.08,-9.33,2.16,5.04,-2.88,4.01,3.21,0.8,30.86,11.71,19.16,16.36,3.23,13.13
Legal Occupations,2023,0.93,8523,79,15.19,5.73,9.46,29.11,42.01,-12.89,6.33,5.42,0.91,15.19,7.67,7.52,21.52,11.59,9.92,21.52,20.37,1.15
"Arts, Design, Entertainment, Sports, and Media Occupations",2022,0.89,41280,368,4.62,3.92,0.7,19.29,17.98,1.31,7.07,2.79,4.27,5.16,2.99,2.17,19.84,11.64,8.19,27.17,9.03,18.15
"Arts, Design, Entertainment, Sports, and Media Occupations",2021,0.81,37551,304,2.63,3.77,-1.14,13.49,16.28,-2.79,2.96,2.08,0.88,4.93,2.35,2.58,17.43,8.25,9.18,20.07,8.01,12.06
"Arts, Design, Entertainment, Sports, and Media Occupations",2018,0.77,28120,217,0.92,2.33,-1.4,2.76,7.14,-4.37,0.92,1.18,-0.26,0.0,0.57,-0.57,6.91,3.82,3.09,4.15,2.81,1.33
