Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp)
Architecture and Engineering Occupations,2018,1.76,31278,551,9.62,4.79,4.83,2.0,1.9,0.1,5.08,8.46,-3.38,0.54,0.36,0.18
"Life, Physical, and Social Science Occupations",2019,1.75,14938,262,8.78,5.83,2.95,3.82,5.58,-1.76,2.29,13.52,-11.23,0.38,0.77,-0.39
Management Occupations,2021,1.71,167167,2859,29.28,12.21,17.07,16.47,8.38,8.1,14.31,27.07,-12.77,5.35,3.4,1.95
Business and Financial Operations Occupations,2019,1.68,110447,1855,10.35,6.24,4.11,4.31,5.01,-0.7,8.14,11.8,-3.66,1.89,1.2,0.69
Business and Financial Operations Occupations,2020,1.65,95541,1572,11.9,6.48,5.42,8.65,10.16,-1.51,8.08,17.05,-8.97,1.84,1.75,0.09
"Life, Physical, and Social Science Occupations",2020,1.64,15532,254,14.57,6.58,7.99,6.69,6.24,0.46,9.06,17.03,-7.98,3.15,1.32,1.83
Business and Financial Operations Occupations,2018,1.6,107281,1720,10.41,5.44,4.96,4.24,5.12,-0.88,8.37,8.87,-0.5,1.1,0.59,0.52
"Life, Physical, and Social Science Occupations",2018,1.49,14522,217,6.91,4.9,2.01,3.69,5.02,-1.33,4.61,10.04,-5.43,0.0,0.5,-0.5
Management Occupations,2019,1.46,133581,1951,13.33,7.49,5.83,4.72,3.78,0.93,6.87,15.25,-8.38,2.05,1.38,0.67
Management Occupations,2020,1.46,124184,1807,21.14,8.03,13.11,9.41,5.82,3.58,9.3,21.02,-11.73,2.93,1.86,1.07
Management Occupations,2023,1.44,152843,2208,33.29,16.46,16.83,23.28,11.12,12.15,32.38,36.93,-4.54,13.04,7.23,5.82
"Arts, Design, Entertainment, Sports, and Media Occupations",2023,1.31,30206,397,19.9,11.3,8.6,46.35,9.16,37.19,18.14,21.6,-3.46,6.8,4.57,2.23
Legal Occupations,2024,1.29,7144,92,32.61,11.42,21.19,34.78,22.9,11.88,38.04,46.36,-8.31,14.13,8.38,5.75
Management Occupations,2018,1.24,128462,1589,7.87,6.01,1.86,4.66,3.21,1.45,7.49,10.88,-3.4,0.82,0.63,0.19
Educational Instruction and Library Occupations,2024,1.04,31079,324,30.86,11.71,19.16,16.36,3.23,13.13,15.74,25.08,-9.33,4.01,3.21,0.8
Legal Occupations,2023,0.93,8523,79,21.52,11.59,9.92,21.52,20.37,1.15,29.11,42.01,-12.89,15.19,7.67,7.52
"Arts, Design, Entertainment, Sports, and Media Occupations",2022,0.89,41280,368,19.84,11.64,8.19,27.17,9.03,18.15,19.29,17.98,1.31,5.16,2.99,2.17
"Arts, Design, Entertainment, Sports, and Media Occupations",2021,0.81,37551,304,17.43,8.25,9.18,20.07,8.01,12.06,13.49,16.28,-2.79,4.93,2.35,2.58
"Arts, Design, Entertainment, Sports, and Media Occupations",2018,0.77,28120,217,6.91,3.82,3.09,4.15,2.81,1.33,2.76,7.14,-4.37,0.0,0.57,-0.57
Legal Occupations,2021,0.76,10093,77,22.08,9.19,12.89,11.69,14.17,-2.48,15.58,30.29,-14.71,2.6,4.28,-1.69
"Arts, Design, Entertainment, Sports, and Media Occupations",2019,0.73,31044,228,8.33,4.89,3.44,4.82,3.51,1.31,10.09,8.89,1.2,3.51,1.06,2.45
Educational Instruction and Library Occupations,2023,0.72,43279,313,37.7,12.7,25.0,14.38,2.91,11.46,16.29,23.8,-7.5,3.19,2.72,0.47
"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.7,30107,212,13.68,3.9,9.78,16.04,9.55,6.49,10.85,10.75,0.09,2.36,1.27,1.09
Legal Occupations,2022,0.68,10939,74,37.84,11.05,26.78,27.03,16.71,10.31,27.03,35.1,-8.08,9.46,4.98,4.48
Legal Occupations,2019,0.63,7950,50,8.0,4.61,3.39,2.0,4.34,-2.34,6.0,15.19,-9.19,2.0,1.81,0.19
Educational Instruction and Library Occupations,2022,0.6,48948,295,37.63,12.2,25.42,8.81,3.59,5.22,9.83,22.29,-12.46,1.69,2.61,-0.91
Office and Administrative Support Occupations,2024,0.6,86103,518,23.55,11.96,11.59,28.76,8.47,20.3,32.63,41.33,-8.71,12.36,7.15,5.21
Sales and Related Occupations,2024,0.58,92329,537,31.1,16.93,14.17,22.16,6.32,15.84,34.64,41.87,-7.23,18.81,10.98,7.83
Educational Instruction and Library Occupations,2021,0.51,42036,214,39.25,8.51,30.75,14.02,4.52,9.5,7.94,20.02,-12.07,1.87,2.06,-0.19
Educational Instruction and Library Occupations,2019,0.48,35152,170,18.82,6.54,12.28,2.94,2.69,0.25,4.71,12.3,-7.59,0.0,0.98,-0.98
Production Occupations,2024,0.47,32056,150,26.0,9.86,16.14,10.0,2.92,7.08,30.0,37.57,-7.57,8.67,5.49,3.18
Legal Occupations,2020,0.45,7918,36,11.11,5.21,5.9,2.78,9.41,-6.64,5.56,23.36,-17.8,2.78,2.35,0.43
Educational Instruction and Library Occupations,2020,0.44,32832,144,27.08,6.77,20.31,9.03,4.45,4.58,6.25,16.17,-9.92,0.0,1.31,-1.31
Sales and Related Occupations,2021,0.43,160089,683,18.45,10.83,7.62,21.08,7.26,13.83,15.52,27.21,-11.7,5.56,3.8,1.77
Sales and Related Occupations,2022,0.43,167836,719,22.81,13.35,9.46,22.39,6.7,15.7,19.05,29.58,-10.53,9.46,4.97,4.49
Community and Social Service Occupations,2024,0.4,22834,91,45.05,14.66,30.39,18.68,12.21,6.47,39.56,39.71,-0.15,14.29,7.98,6.31
Educational Instruction and Library Occupations,2018,0.39,32106,125,16.0,5.83,10.17,2.4,2.96,-0.56,5.6,8.04,-2.44,2.4,0.55,1.85
Office and Administrative Support Occupations,2022,0.39,184015,726,22.04,10.05,11.99,24.79,8.57,16.22,19.01,31.42,-12.41,6.2,3.6,2.6
Office and Administrative Support Occupations,2023,0.37,136194,510,21.96,11.46,10.5,33.33,8.51,24.82,28.04,37.23,-9.19,10.78,5.67,5.12
Sales and Related Occupations,2020,0.35,138784,488,13.11,7.7,5.41,16.19,6.78,9.41,9.43,18.44,-9.02,1.43,1.59,-0.16
Legal Occupations,2018,0.34,7094,24,8.33,4.38,3.95,0.0,3.32,-3.32,0.0,9.04,-9.04,0.0,0.96,-0.96
Production Occupations,2022,0.33,61947,206,24.76,7.77,16.99,12.62,2.56,10.06,16.5,29.34,-12.84,5.83,3.07,2.76
Sales and Related Occupations,2019,0.32,143313,453,15.23,6.42,8.82,8.83,3.52,5.31,11.7,14.75,-3.05,1.77,1.2,0.57
Sales and Related Occupations,2023,0.32,140988,446,23.32,15.52,7.79,22.87,6.2,16.67,30.94,35.86,-4.92,14.35,7.95,6.4
Sales and Related Occupations,2018,0.31,132262,413,7.02,5.15,1.87,7.75,3.44,4.3,10.65,11.5,-0.84,0.48,0.85,-0.37
Production Occupations,2023,0.31,49068,153,21.57,9.26,12.31,14.38,2.96,11.42,31.37,34.4,-3.03,11.11,4.55,6.56
Office and Administrative Support Occupations,2021,0.3,171877,509,17.29,7.08,10.21,20.83,7.48,13.34,22.4,28.58,-6.18,6.88,2.44,4.44
Production Occupations,2021,0.27,59332,158,17.09,5.33,11.76,11.39,2.24,9.15,16.46,25.88,-9.42,3.8,1.8,2.0
Office and Administrative Support Occupations,2019,0.26,142454,376,10.64,4.64,6.0,4.79,2.71,2.08,13.56,15.03,-1.46,1.33,1.04,0.29
Production Occupations,2019,0.25,40699,102,6.86,3.29,3.58,2.94,0.99,1.95,9.8,14.34,-4.53,0.98,0.6,0.38
Community and Social Service Occupations,2022,0.25,35621,90,23.33,14.71,8.63,18.89,9.68,9.21,31.11,34.93,-3.82,6.67,5.81,0.85
Community and Social Service Occupations,2023,0.25,33210,83,37.35,16.29,21.06,20.48,11.8,8.68,40.96,38.3,2.66,13.25,7.4,5.85
Production Occupations,2018,0.24,41386,99,9.09,2.93,6.17,1.01,0.63,0.38,11.11,10.44,0.67,0.0,0.2,-0.2
Community and Social Service Occupations,2019,0.24,23562,56,14.29,5.14,9.14,5.36,3.81,1.55,17.86,19.07,-1.21,0.0,2.91,-2.91
Healthcare Practitioners and Technical Occupations,2024,0.24,148813,364,16.76,11.12,5.64,10.71,2.8,7.92,21.43,34.3,-12.87,3.3,5.91,-2.61
Office and Administrative Support Occupations,2020,0.23,134215,304,15.46,4.29,11.17,6.91,5.72,1.19,13.16,21.99,-8.83,2.3,1.36,0.94
Office and Administrative Support Occupations,2018,0.22,133502,295,7.8,4.28,3.52,6.78,2.04,4.74,12.88,10.27,2.61,1.36,0.41,0.94
Community and Social Service Occupations,2018,0.21,19480,41,9.76,3.99,5.76,4.88,3.43,1.45,19.51,13.57,5.95,2.44,2.31,0.13
Production Occupations,2020,0.21,44668,95,4.21,3.43,0.78,5.26,1.76,3.5,12.63,20.17,-7.54,0.0,1.01,-1.01
Community and Social Service Occupations,2021,0.2,30114,61,31.15,10.7,20.44,13.11,9.03,4.09,24.59,31.84,-7.25,3.28,4.4,-1.12
Personal Care and Service Occupations,2023,0.13,19601,25,24.0,7.0,17.0,4.0,2.03,1.97,20.0,28.73,-8.73,4.0,2.48,1.52
Personal Care and Service Occupations,2024,0.13,12984,17,5.88,7.94,-2.06,5.88,1.84,4.05,29.41,33.19,-3.78,0.0,3.17,-3.17
Transportation and Material Moving Occupations,2024,0.13,50806,68,19.12,8.21,10.9,4.41,1.1,3.31,17.65,42.29,-24.64,1.47,6.03,-4.55
Personal Care and Service Occupations,2021,0.12,22201,26,3.85,5.01,-1.17,15.38,1.75,13.63,11.54,20.25,-8.71,0.0,1.57,-1.57
Personal Care and Service Occupations,2022,0.12,25069,30,16.67,6.0,10.66,6.67,2.98,3.69,20.0,25.13,-5.13,3.33,2.03,1.3
Healthcare Practitioners and Technical Occupations,2018,0.11,138078,152,2.63,2.52,0.11,3.95,1.99,1.96,5.26,9.63,-4.36,3.29,0.44,2.85
Community and Social Service Occupations,2020,0.11,23599,26,23.08,5.92,17.16,11.54,7.43,4.11,19.23,24.93,-5.7,0.0,4.02,-4.02
Healthcare Practitioners and Technical Occupations,2020,0.1,162128,157,13.38,5.78,7.6,3.82,1.99,1.83,8.28,15.46,-7.18,0.0,0.94,-0.94
Healthcare Practitioners and Technical Occupations,2021,0.1,183386,187,17.65,8.99,8.65,14.97,2.54,12.43,12.83,23.38,-10.55,1.07,2.18,-1.11
Healthcare Practitioners and Technical Occupations,2022,0.1,228087,237,27.0,10.73,16.28,9.7,2.93,6.78,18.57,26.2,-7.64,2.95,3.09,-0.14
Healthcare Practitioners and Technical Occupations,2023,0.1,221772,216,21.3,12.05,9.25,9.72,2.6,7.12,28.7,31.27,-2.57,5.09,5.61,-0.52
Healthcare Practitioners and Technical Occupations,2019,0.09,137363,130,3.08,5.52,-2.45,2.31,2.53,-0.22,12.31,12.78,-0.47,1.54,0.62,0.92
Transportation and Material Moving Occupations,2022,0.08,104718,88,25.0,9.46,15.54,10.23,0.98,9.25,22.73,37.36,-14.63,11.36,6.51,4.86
Personal Care and Service Occupations,2020,0.07,19110,14,14.29,3.15,11.13,7.14,2.28,4.86,0.0,13.79,-13.79,0.0,1.24,-1.24
Transportation and Material Moving Occupations,2023,0.07,84925,61,18.03,8.8,9.24,4.92,0.9,4.02,21.31,40.62,-19.31,6.56,6.55,0.01
Transportation and Material Moving Occupations,2018,0.06,86162,49,6.12,1.32,4.81,0.0,0.36,-0.36,8.16,21.89,-13.73,2.04,0.2,1.84
Transportation and Material Moving Occupations,2021,0.06,129816,79,39.24,5.23,34.01,2.53,0.78,1.75,16.46,36.73,-20.27,0.0,3.91,-3.91
Personal Care and Service Occupations,2019,0.04,19833,8,0.0,4.1,-4.1,0.0,1.23,-1.23,37.5,9.3,28.2,0.0,0.66,-0.66
Transportation and Material Moving Occupations,2019,0.04,71472,31,12.9,2.21,10.7,3.23,0.49,2.73,3.23,21.15,-17.93,3.23,0.61,2.62
Transportation and Material Moving Occupations,2020,0.04,105958,47,4.26,2.05,2.2,4.26,0.61,3.64,17.02,28.35,-11.33,2.13,1.39,0.74
Personal Care and Service Occupations,2018,0.03,19845,5,0.0,3.55,-3.55,0.0,1.24,-1.24,0.0,6.27,-6.27,0.0,0.23,-0.23
