FIRM_CATEGORY,postings,ai_vacancies,firms,non_ai_vacancies,ai_share,wage_postings,ai_wage_postings
SMEs,2429273,26659,681577,2402614,0.010974065080375899,1172099,9519
Large firms,5019495,59501,17584,4959994,0.01185398132680678,1498010,19687
S&P 500 firms,1252651,36608,484,1216043,0.029224420848265,308977,12456
